Company Name,Industry,Symbol,Price Deviation (5 D),LTP,ST,MT,LT,ST %,MT %,LT %
Hinduja Global Solutions Ltd.,Services,HGS,0.01574,1002.4,1021.48,1307.82,350.75,-1.903,-30.469,65.009
Pidilite Industries Ltd.,Chemicals,PIDILITIND,0.01714,2499.5,2342.17,2414.38,1110.26,6.294,3.405,55.581
Sanofi India Ltd.,Healthcare,SANOFI,0.01929,7108.9,5304.91,7171.58,4892.73,25.376,-0.882,31.175
Bosch Ltd.,Automobile and Auto Components,BOSCHLTD,0.02062,19218.55,17814.1,14675.28,19004.35,7.308,23.64,1.115
Tata Elxsi Ltd.,Information Technology,TATAELXSI,0.02105,7301.7,5910.07,5653.46,1289.46,19.059,22.573,82.34
Amara Raja Batteries Ltd.,Automobile and Auto Components,AMARAJABAT,0.02106,638.65,552.12,720.18,764.08,13.549,-12.766,-19.64
Campus Activewear Ltd.,Consumer Durables,CAMPUS,0.02132,291.65,330.95,330.95,330.95,-13.475,-13.475,-13.475
Dabur India Ltd.,Fast Moving Consumer Goods,DABUR,0.02167,561.0,538.92,636.02,437.63,3.936,-13.373,21.991
Balaji Amines Ltd.,Chemicals,BALAMINES,0.02175,2240.25,1976.08,4633.66,538.12,11.792,-106.837,75.979
LTIMindtree Ltd.,Information Technology,LTIM,0.02185,5436.9,4522.06,5878.38,1740.04,16.827,-8.12,67.996
Bharti Airtel Ltd.,Telecommunication,BHARTIARTL,0.0222,920.25,758.27,707.0,334.61,17.602,23.173,63.639
Oil & Natural Gas Corporation Ltd.,Oil Gas & Consumable Fuels,ONGC,0.02306,187.25,149.83,118.78,127.56,19.984,36.566,31.877
Kotak Mahindra Bank Ltd.,Financial Services,KOTAKBANK,0.02311,1765.15,1703.8,2021.12,1235.11,3.476,-14.501,30.028
Hindustan Zinc Ltd.,Metals & Mining,HINDZINC,0.02335,311.0,296.66,226.89,152.75,4.611,27.045,50.884
Reliance Industries Ltd.,Oil Gas & Consumable Fuels,RELIANCE,0.02336,2368.9,2229.67,2473.69,1192.59,5.877,-4.424,49.656
Godrej Agrovet Ltd.,Fast Moving Consumer Goods,GODREJAGRO,0.02365,479.55,383.47,599.28,483.43,20.035,-24.967,-0.809
JSW Steel Ltd.,Metals & Mining,JSWSTEEL,0.02428,779.6,656.09,633.61,346.93,15.843,18.726,55.499
Life Insurance Corporation of India,Financial Services,LICI,0.02436,644.95,538.88,538.88,538.88,16.446,16.446,16.446
Navin Fluorine International Ltd.,Chemicals,NAVINFLUOR,0.02462,4444.85,4169.52,3897.64,700.34,6.194,12.311,84.244
Hindustan Unilever Ltd.,Fast Moving Consumer Goods,HINDUNILVR,0.02493,2501.75,2478.76,2676.87,1485.65,0.919,-7.0,40.616
HCL Technologies Ltd.,Information Technology,HCLTECH,0.02501,1261.1,1024.99,1215.49,472.34,18.723,3.617,62.545
MRF Ltd.,Automobile and Auto Components,MRF,0.02605,110285.4,83572.02,79932.73,69856.42,24.222,27.522,36.659
